id,nama_resep,bahan_resep,bahan_alergen,daerah_resep,umur_resep
64,Bubur Susu Sari Kacang Hijau,"tepung beras putih, kacang hijau, air, ASI",kacang,Indonesia,6-8 Bulan
65,Bubur Susu Jagung,"tepung beras putih, jagung, air, ASI",tepung,Indonesia,6-8 Bulan
66,Puree Labu Tomat,"labu butternut squash, tomat",,Indonesia,6-8 Bulan
67,Puree Alpukat,"alpukat, ASI/susu formula",susu,Indonesia,6-8 Bulan
68,Puree Ubi Keju,"ubi jalar, keju, air",keju,Indonesia,6-8 Bulan
69,Finger Food Kentang Panggang,kentang,,Indonesia,6-8 Bulan
70,Finger Food Apel Panggang,"apel, tepung beras, telur ayam kampung",tepung,Indonesia,6-8 Bulan
70,Finger Food Apel Panggang,"apel, tepung beras, telur ayam kampung",telur,Indonesia,6-8 Bulan
71,Finger Food Wortel Panggang,"wortel, tepung roti, keju, minyak kelapa",tepung,Indonesia,6-8 Bulan
71,Finger Food Wortel Panggang,"wortel, tepung roti, keju, minyak kelapa",keju,Indonesia,6-8 Bulan
72,Puree Pisang,"pisang, ASI/susu formula, yogurt, tepung sereal",susu,Indonesia,9-11 Bulan
72,Puree Pisang,"pisang, ASI/susu formula, yogurt, tepung sereal",yogurt,Indonesia,9-11 Bulan
72,Puree Pisang,"pisang, ASI/susu formula, yogurt, tepung sereal",tepung,Indonesia,9-11 Bulan
73,Puree Buah Pelangi,"apel, pir, plum, ASI/susu formula",susu,Indonesia,9-11 Bulan
74,Puding Roti Apel,"apel, roti, ASI/susu formula",roti,Indonesia,9-11 Bulan
74,Puding Roti Apel,"apel, roti, ASI/susu formula",susu,Indonesia,9-11 Bulan
75,Pisang Labu Kuning,"labu kuning, pisang, yogurt atau sereal",yogurt,,9-11 Bulan
76,Sup Krim Labu Kuning,"labu kuning, wortel, kaldu ayam, bawang bombay, yogurt, kayu manis, merica",yogurt,Indonesia,9-11 Bulan
77,Smoothie Pisang Labu Kuning,"pisang, labu kuning, yogurt, kayu manis",yogurt,Indonesia,9-11 Bulan
78,Ubi Bayam Susu,"bayam, ubi jalar, ASI",,Indonesia,9-11 Bulan
79,Bubur Susu Ubi,"ubi jalar, ASI",,Indonesia,9-11 Bulan
80,Nasi Tim Saring Ayam Wortel Keju,"beras, daging ayam, wortel, tahu, kaldu ayam, santan, tomat",keju,Indonesia,9-11 Bulan
80,Nasi Tim Saring Ayam Wortel Keju,"beras, daging ayam, wortel, tahu, kaldu ayam, santan, tomat",tahu,Indonesia,9-11 Bulan
81,Puree Wortel Gurame,"wortel, ikan gurame, asparagus, kentang, tempe, keju cheddar",ikan,Indonesia,9-11 Bulan
81,Puree Wortel Gurame,"wortel, ikan gurame, asparagus, kentang, tempe, keju cheddar",tempe,Indonesia,9-11 Bulan
